year,gp,driver,compound,actual_first_pit,agent_pit_lap,first_pit_lap,pit_timing_error,mean_reward,confidence_pct
2022,Abu Dhabi Grand Prix,ALB,MEDIUM,12,1,1,11,-11,60.21
2022,Abu Dhabi Grand Prix,ALO,MEDIUM,19,16,16,3,-3,81.47
2022,Abu Dhabi Grand Prix,BOT,HARD,30,1,1,29,-29,53.14
2022,Abu Dhabi Grand Prix,GAS,SOFT,14,1,1,13,-13,79.55
2022,Abu Dhabi Grand Prix,HAM,MEDIUM,18,17,17,1,-1,60.51
2022,Abu Dhabi Grand Prix,LAT,MEDIUM,15,1,1,14,-14,69.73
2022,Abu Dhabi Grand Prix,LEC,MEDIUM,21,21,21,0,0,91.32
2022,Abu Dhabi Grand Prix,MAG,HARD,28,17,17,11,-11,34.51
2022,Abu Dhabi Grand Prix,MSC,MEDIUM,14,4,4,10,-10,39.95
2022,Abu Dhabi Grand Prix,NOR,MEDIUM,15,15,15,0,0,69.92
2022,Abu Dhabi Grand Prix,OCO,MEDIUM,14,14,14,0,0,73.11
2022,Abu Dhabi Grand Prix,PER,MEDIUM,15,15,15,0,0,67.88
2022,Abu Dhabi Grand Prix,RIC,MEDIUM,19,16,16,3,-3,35.59
2022,Abu Dhabi Grand Prix,RUS,MEDIUM,15,15,15,0,0,52.74
2022,Abu Dhabi Grand Prix,SAI,MEDIUM,17,17,17,0,0,78.14
2022,Abu Dhabi Grand Prix,STR,MEDIUM,13,13,13,0,0,75.5
2022,Abu Dhabi Grand Prix,TSU,MEDIUM,14,14,14,0,0,69.25
2022,Abu Dhabi Grand Prix,VER,MEDIUM,20,8,8,12,-12,53.12
2022,Abu Dhabi Grand Prix,VET,MEDIUM,25,16,16,9,-9,50.32
2022,Abu Dhabi Grand Prix,ZHO,MEDIUM,15,15,15,0,0,73.06
2022,Australian Grand Prix,ALB,HARD,57,1,1,56,-56,50.64
2022,Australian Grand Prix,ALO,HARD,39,24,24,15,-15,74.26
2022,Australian Grand Prix,BOT,MEDIUM,22,19,19,3,-3,53.44
2022,Australian Grand Prix,GAS,MEDIUM,21,17,17,4,-4,50.11
2022,Australian Grand Prix,HAM,MEDIUM,22,6,6,16,-16,72.73
2022,Australian Grand Prix,LAT,MEDIUM,13,1,1,12,-12,64.22
2022,Australian Grand Prix,LEC,MEDIUM,22,4,4,18,-18,86.91
2022,Australian Grand Prix,MAG,HARD,39,16,16,23,-23,60.75
2022,Australian Grand Prix,MSC,MEDIUM,14,12,12,2,-2,76.23
2022,Australian Grand Prix,NOR,MEDIUM,20,6,6,14,-14,75.87
2022,Australian Grand Prix,OCO,MEDIUM,17,4,4,13,-13,32.1
2022,Australian Grand Prix,PER,MEDIUM,20,6,6,14,-14,71.83
2022,Australian Grand Prix,RIC,MEDIUM,21,6,6,15,-15,70.71
2022,Australian Grand Prix,RUS,MEDIUM,23,6,6,17,-17,73.84
2022,Australian Grand Prix,STR,HARD,3,1,1,2,-2,53.14
2022,Australian Grand Prix,TSU,MEDIUM,18,16,16,2,-2,71.97
2022,Australian Grand Prix,VER,MEDIUM,18,6,6,12,-12,70.63
2022,Australian Grand Prix,ZHO,MEDIUM,21,5,5,16,-16,47.96
2022,Austrian Grand Prix,ALB,MEDIUM,11,11,11,0,0,73.02
2022,Austrian Grand Prix,ALO,HARD,27,18,18,9,-9,34.64
2022,Austrian Grand Prix,BOT,MEDIUM,6,1,1,5,-5,59.49
2022,Austrian Grand Prix,GAS,MEDIUM,12,12,12,0,0,75.43
2022,Austrian Grand Prix,HAM,MEDIUM,28,18,18,10,-10,61.14
2022,Austrian Grand Prix,LAT,MEDIUM,12,12,12,0,0,72.12
2022,Austrian Grand Prix,LEC,MEDIUM,26,12,12,14,-14,70.02
2022,Austrian Grand Prix,MAG,MEDIUM,15,15,15,0,0,79.46
2022,Austrian Grand Prix,MSC,MEDIUM,16,14,14,2,-2,34.09
2022,Austrian Grand Prix,NOR,MEDIUM,14,14,14,0,0,80.88
2022,Austrian Grand Prix,OCO,MEDIUM,16,16,16,0,0,80.55
2022,Austrian Grand Prix,PER,MEDIUM,1,1,1,0,0,79.73
2022,Austrian Grand Prix,RIC,MEDIUM,12,12,12,0,0,75.09
2022,Austrian Grand Prix,RUS,MEDIUM,11,11,11,0,0,69.78
2022,Austrian Grand Prix,SAI,MEDIUM,27,22,22,5,-5,35.74
2022,Austrian Grand Prix,STR,MEDIUM,29,16,16,13,-13,55.06
2022,Austrian Grand Prix,TSU,HARD,26,18,18,8,-8,39.49
2022,Austrian Grand Prix,VER,MEDIUM,13,8,8,5,-5,44.2
2022,Austrian Grand Prix,VET,HARD,20,18,18,2,-2,35.73
2022,Austrian Grand Prix,ZHO,HARD,24,18,18,6,-6,37.04
2022,Azerbaijan Grand Prix,ALB,MEDIUM,9,1,1,8,-8,66.58
2022,Azerbaijan Grand Prix,ALO,MEDIUM,18,17,17,1,-1,65.67
2022,Azerbaijan Grand Prix,BOT,HARD,33,1,1,32,-32,39.27
2022,Azerbaijan Grand Prix,GAS,MEDIUM,9,10,10,1,-1,81.36
