year,gp,driver,total_reward,first_pit_lap,actual_first_pit,pit_timing_error,start_compound,n_pits
2024,Spa,NOR,236.03924339017715,27,22,5,MEDIUM,1
2024,Monza,VER,224.21543286375146,29,22,7,MEDIUM,1
2024,Spa,LEC,225.76936394586454,42,32,10,HARD,1
2024,Silverstone,VER,248.1657492248766,36,29,7,HARD,1
2024,Monaco,VER,230.17629268082865,9,10,1,SOFT,1
2024,Monaco,HAM,255.71625938844178,22,23,1,MEDIUM,1
2024,Bahrain,LEC,256.68862018318737,21,20,1,MEDIUM,1
2024,Bahrain,LEC,243.82041474754777,39,32,7,HARD,1
2024,Monaco,LEC,224.95241620184845,32,22,10,MEDIUM,1
2024,Spa,LEC,240.5771565791999,8,17,9,SOFT,1
2024,Monaco,VER,251.7106484181606,23,22,1,MEDIUM,1
2024,Silverstone,VER,223.0053293598122,13,14,1,SOFT,1
2024,Silverstone,LEC,251.5430662170504,25,20,5,MEDIUM,1
2024,Bahrain,NOR,207.03357816270554,14,17,3,SOFT,1
2024,Bahrain,LEC,229.98718753747175,39,35,4,HARD,1
2024,Bahrain,HAM,233.10949129325672,27,23,4,MEDIUM,1
2024,Bahrain,NOR,225.17779026720535,30,21,9,MEDIUM,1
2024,Monza,LEC,250.42035353949808,22,21,1,MEDIUM,1
2024,Monaco,LEC,247.98929789879952,23,21,2,MEDIUM,1
2024,Spa,VER,234.75807394081403,29,19,10,MEDIUM,1
2024,Monaco,LEC,242.51309476883566,26,24,2,MEDIUM,1
2024,Monaco,HAM,225.59198050650625,39,35,4,HARD,1
2024,Monaco,HAM,247.97343355838612,26,27,1,MEDIUM,1
2024,Spa,LEC,212.64411355329668,13,13,0,SOFT,1
2024,Monza,VER,258.6351133624932,33,34,1,HARD,1
2024,Spa,LEC,223.996048859513,41,34,7,HARD,1
2024,Monza,NOR,236.06474861534485,36,31,5,HARD,1
2024,Monaco,HAM,237.0791003121737,27,26,1,MEDIUM,1
2024,Bahrain,HAM,245.03517505573416,24,22,2,MEDIUM,1
2024,Monza,LEC,253.2815189327789,36,32,4,HARD,1
2024,Silverstone,HAM,252.59402430120787,20,21,1,MEDIUM,1
2024,Monza,NOR,257.67760610810575,19,22,3,MEDIUM,1
2024,Spa,NOR,229.11291300155,28,26,2,MEDIUM,1
2024,Spa,LEC,212.11776733751265,13,12,1,SOFT,1
2024,Bahrain,VER,237.7963627047876,25,20,5,MEDIUM,1
2024,Silverstone,LEC,233.17791789114165,39,34,5,HARD,1
2024,Monza,VER,225.0258884147084,26,20,6,MEDIUM,1
2024,Bahrain,LEC,225.91253567286688,30,24,6,MEDIUM,1
2024,Spa,NOR,236.31511135821705,29,25,4,MEDIUM,1
2024,Spa,NOR,222.81917884688437,14,13,1,SOFT,1
2024,Bahrain,LEC,254.58344866562402,23,19,4,MEDIUM,1
2024,Spa,VER,231.91349680782906,38,34,4,HARD,1
2024,Monaco,HAM,259.7319656429701,20,23,3,MEDIUM,1
2024,Bahrain,HAM,236.50623794058941,29,25,4,MEDIUM,1
2024,Silverstone,LEC,236.7003598754944,41,29,12,HARD,1
2024,Monaco,VER,213.3592819483814,17,13,4,SOFT,1
2024,Silverstone,VER,230.62679972765304,29,22,7,MEDIUM,1
2024,Bahrain,LEC,229.70832792654994,13,14,1,SOFT,1
2024,Monza,LEC,247.12343086887756,38,32,6,HARD,1
2024,Spa,VER,208.33326630772572,18,15,3,SOFT,1
2024,Bahrain,HAM,241.42808882956572,22,23,1,MEDIUM,1
2024,Monaco,LEC,225.63608392382693,11,13,2,SOFT,1
2024,Spa,NOR,253.2221008994597,36,35,1,HARD,1
2024,Monza,LEC,245.45041576160511,34,33,1,HARD,1
2024,Monaco,LEC,223.14689595329662,39,32,7,HARD,1
2024,Monaco,VER,226.32881440020432,41,34,7,HARD,1
2024,Spa,HAM,238.56121829312872,11,14,3,SOFT,1
2024,Monaco,NOR,222.49549630281538,13,14,1,SOFT,1
2024,Bahrain,HAM,225.64785433134645,11,13,2,SOFT,1
2024,Bahrain,NOR,246.6166836115059,35,33,2,HARD,1
2024,Silverstone,VER,248.42553968738252,21,20,1,MEDIUM,1
2024,Spa,VER,230.06315129883552,42,35,7,HARD,1
2024,Monaco,VER,212.56640118580964,17,16,1,SOFT,1
2024,Monaco,VER,243.53667583140447,39,28,11,HARD,1
2024,Silverstone,NOR,237.5945937476173,8,17,9,SOFT,1
2024,Bahrain,VER,250.12778977869303,35,29,6,HARD,1
2024,Monaco,LEC,253.48196199958753,20,22,2,MEDIUM,1
2024,Silverstone,HAM,220.27316816359365,15,12,3,SOFT,1
2024,Monaco,VER,226.95551522699458,11,17,6,SOFT,1
2024,Bahrain,NOR,224.5749189015283,41,33,8,HARD,1
2024,Monaco,VER,226.0119386139096,12,12,0,SOFT,1
2024,Monza,LEC,247.67578903872106,25,19,6,MEDIUM,1
2024,Bahrain,LEC,229.6389133841235,39,31,8,HARD,1
2024,Bahrain,HAM,231.18692737771255,14,14,0,SOFT,1
2024,Spa,HAM,237.06534673135306,13,13,0,SOFT,1
2024,Monza,LEC,243.00301650593192,27,24,3,MEDIUM,1
2024,Bahrain,NOR,225.97916461809137,10,13,3,SOFT,1
2024,Silverstone,VER,261.4140534218868,22,23,1,MEDIUM,1
2024,Monaco,LEC,251.0624533127535,21,20,1,MEDIUM,1
2024,Monza,VER,240.61302844776844,8,13,5,SOFT,1
2024,Spa,LEC,253.62007766361717,37,34,3,HARD,1
2024,Spa,LEC,220.6272808810087,14,10,4,SOFT,1
2024,Monza,VER,250.43355997681283,36,29,7,HARD,1
2024,Monaco,LEC,230.33822946985816,28,20,8,MEDIUM,1
2024,Bahrain,HAM,256.3787569222546,31,37,6,HARD,1
2024,Monza,HAM,242.02428149926433,35,28,7,HARD,1
2024,Silverstone,NOR,242.85262696527533,38,33,5,HARD,1
2024,Bahrain,LEC,222.85293830590973,39,33,6,HARD,1
2024,Spa,HAM,221.5981291566089,16,14,2,SOFT,1
2024,Silverstone,LEC,249.0950575730257,20,25,5,MEDIUM,1
2024,Silverstone,VER,246.45293458961817,23,26,3,MEDIUM,1
2024,Bahrain,NOR,263.6891563767216,22,22,0,MEDIUM,1
2024,Silverstone,VER,255.76595936918707,35,34,1,HARD,1
2024,Bahrain,LEC,221.83220798555408,15,14,1,SOFT,1
2024,Silverstone,HAM,228.1694589089886,14,18,4,SOFT,1
2024,Monza,NOR,235.02456989336957,41,29,12,HARD,1
2024,Spa,NOR,239.67590985849952,9,16,7,SOFT,1
2024,Spa,HAM,243.8586425375909,39,36,3,HARD,1
2024,Bahrain,LEC,239.8327142842243,23,24,1,MEDIUM,1
2024,Bahrain,VER,219.88180010679258,15,17,2,SOFT,1
